epoch,train_loss,val_loss,val_psnr,val_ssim,lr
0,1.427804,0.783305,8.6947,0.086701,0.00010000
1,0.642227,0.522915,9.9320,0.094019,0.00009990
2,0.451745,0.401984,10.9279,0.134086,0.00009961
3,0.360371,0.320005,11.9808,0.147548,0.00009911
4,0.301947,0.279469,12.6777,0.182751,0.00009843
5,0.259297,0.243066,13.6633,0.197876,0.00009755
6,0.235069,0.225243,13.9385,0.217666,0.00009649
7,0.221471,0.204656,14.4266,0.235170,0.00009524
8,0.194880,0.184664,15.2251,0.268139,0.00009382
9,0.181138,0.181164,15.3194,0.261317,0.00009222
10,0.171420,0.166670,15.8586,0.284002,0.00009045
11,0.160326,0.157298,16.1042,0.299304,0.00008853
12,0.159728,0.167704,15.6381,0.320971,0.00008645
13,0.157335,0.148514,16.5584,0.321902,0.00008423
14,0.139989,0.138506,16.9092,0.331414,0.00008187
15,0.137605,0.135211,17.1873,0.344002,0.00007939
16,0.129990,0.131249,17.4670,0.361141,0.00007679
17,0.128280,0.122448,17.9006,0.377754,0.00007409
18,0.125354,0.112469,18.3738,0.388445,0.00007129
19,0.118372,0.114214,18.2935,0.394413,0.00006841
20,0.117720,0.111594,18.4280,0.399693,0.00006545
21,0.110649,0.108040,18.6822,0.407421,0.00006243
22,0.108222,0.107042,18.8749,0.420952,0.00005937
23,0.104890,0.104804,18.8706,0.426404,0.00005627
24,0.103725,0.100717,19.2645,0.438941,0.00005314
25,0.100760,0.103084,19.1117,0.442684,0.00005000
26,0.100319,0.097499,19.4786,0.452137,0.00004686
27,0.095326,0.095933,19.6252,0.460931,0.00004373
28,0.094285,0.091578,19.9582,0.471883,0.00004063
29,0.089655,0.092660,19.8240,0.466426,0.00003757
30,0.089823,0.087501,20.2230,0.481386,0.00003455
31,0.090967,0.088805,20.2864,0.482628,0.00003159
32,0.090716,0.090375,20.0333,0.486672,0.00002871
33,0.086598,0.085724,20.3880,0.499218,0.00002591
